Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
  682             2         945257          682
  683             2         945259          683
  684             2         945261          684
  685             2         945263          685
  686             2         945265          686
  687             2         945267          687
  688             2         945269          688
  689             2         945271          689
  690             2         945273          690
  691             2         945275          691
  692             2         945277          692
  693             2         945279          693
  694             2         945281          694
  695             2         945283          695
  696             2         945285          696
  697             2         945287          697
  698             2         945289          698
  699             2         945291          699
  700             2         945293          700
  701             2         945295          701
  702             2         945297          702
  703             2         945299          703
  704             2         945301          704
  705             2         945303          705
  706             2         945305          706
  707             2         945307          707
  708             2         945309          708
  709             2         945311          709
  710             2         945313          710
  711             2         945315          711
  712             2         945317          712
  713             2         945319          713
  714             2         945321          714
  715             2         945323          715
  716             2         945325          716
  717             2         945327          717
  718             2         945329          718
  719             2         945331          719
  720             2         945333          720
  721             2         945335          721
  722             2         945337          722
  723             2         945339          723
  724             2         945341          724
  725             2         945343          725
  726            14         945357          726
  727            22         945379          727
  728            22         945401          728
  729            22         945423          729
  730            22         945445          730
  731            22         945467          731
  732            22         945489          732
  733            22         945511          733
  734            22         945533          734
  735            22         945555          735
  736            22         945577          736

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Escena 1                         59           191

Embedded Objects                434             0

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Interpolación 9                   0             0
Interpolación 8                   0             0
Interpolación 7                   0             0
Interpolación 6                   0             0
Interpolación 5                   0             0
Interpolación 4                   0             0
Interpolación 3                   0             0
Interpolación 2                   0             0
Interpolación 1                   0             0

Bitmap                     Compressed  Original    Compression
-----------------------    ----------  ----------  ------------
foto10.jpg                    124082     1080000   Imported JPEGfoto5.jpg                      44440     1080000   Imported JPEGfoto8.jpg                      76903     1080000   Imported JPEGfoto9.jpg                     134148     1084804   Imported JPEGfoto12.jpg                    215398     1080000   Imported JPEGfoto11.jpg                    133767     1080000   Imported JPEGfoto4.jpg                     209330     1080000   Imported JPEG
Font Name                  Bytes       Characters
-----------------------    --------    -----------
Calibri Bold                 1301         01245AMRÇ
Calibri Italic               2474         '36acdehinoprstó
